Công Ty TNHH W-j Vina	Hải Dương	Thôn Hoàng Lại, Xã An Lương, Huyện Thanh Hà, Tỉnh Hải Dương	May trang phục (trừ trang phục từ da lông thú)	0801247457	06-04-2018
Công Ty TNHH Hóa Mỹ Phẩm Vương Triều	Hải Dương	Đội 13 xóm đông , thôn Song động, Xã Tân An, Huyện Thanh Hà, Tỉnh Hải Dương	Bán buôn chuyên doanh khác chưa được phân vào đâu	0801247432	06-04-2018
Công Ty TNHH Cơ Khí & Môi Trường Minh Hoàng	Hải Dương	Thôn Nhan bầu, Xã Thanh Hồng, Huyện Thanh Hà, Tỉnh Hải Dương	Sản xuất các cấu kiện kim loại	0801246580	28-03-2018
Công Ty TNHH Viet Food Ltg	Hải Dương	Thôn Nhân Lư, Xã Cẩm Chế, Huyện Thanh Hà, Tỉnh Hải Dương	Bán buôn thực phẩm	0801246069	23-03-2018
Công Ty Cổ Phần Famifeed	Hải Dương	Thị tứ Chợ Hệ, Xã Thanh Bính, Huyện Thanh Hà, Tỉnh Hải Dương	Bán buôn nông, lâm sản nguyên liệu (trừ gỗ, tre, nứa) và động vật sống	0801243808	09-02-2018
Công Ty TNHH May Thảo Anh	Hải Dương	Thôn Phúc Giới, Xã Thanh Bính, Huyện Thanh Hà, Tỉnh Hải Dương	Sản xuất hàng may sẵn (trừ trang phục)	0801242970	06-02-2018
Công Ty TNHH Cơ Điện Hợp Thanh	Hải Dương	Thôn Bá Nha, Xã Hợp Đức, Huyện Thanh Hà, Tỉnh Hải Dương	Xây dựng nhà các loại	0801243149	06-02-2018
Công Ty TNHH Tmth Và Xuất Nhập Khẩu Phú Nguyễn	Hải Dương	Xóm Mới, Xã Hồng Lạc, Huyện Thanh Hà, Tỉnh Hải Dương	Bán buôn nông, lâm sản nguyên liệu (trừ gỗ, tre, nứa) và động vật sống	0801242917	02-02-2018
Công Ty Cổ Phần Dịch Vụ Vận Tải Thương Mại Phúc An	Hải Dương	Xóm Mới, Xã Hồng Lạc, Huyện Thanh Hà, Tỉnh Hải Dương	Vận tải hàng hóa đường thuỷ nội địa	0801242561	29-01-2018
Công Ty TNHH Mtv Tiến Th	Hải Dương	Thôn Tiền Vĩ, Xã Thanh Hải, Huyện Thanh Hà, Tỉnh Hải Dương	Sản xuất vật liệu xây dựng từ đất sét	0801242427	26-01-2018
Công Ty TNHH Cơ Khí Hải Dương	Hải Dương	Xóm Đoàn Kết, Xã Quyết Thắng, Huyện Thanh Hà, Tỉnh Hải Dương	Gia công cơ khí; xử lý và tráng phủ kim loại	0801241649	19-01-2018
Công Ty TNHH Thiên Long Hd	Hải Dương	Chợ Sung, Xã Liên Mạc, Huyện Thanh Hà, Tỉnh Hải Dương	Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng	0801241328	18-01-2018
Công Ty Cổ Phần Đầu Tư Xây Dựng Và Thương Mại Đức Phúc 689	Hải Dương	Đội 13, thôn Vạn Tuế, Xã Tân Việt, Huyện Thanh Hà, Tỉnh Hải Dương	Xây dựng nhà các loại	0801241039	16-01-2018
Công Ty TNHH Đầu Tư Thương Mại Và Vận Tải Thanh Hà	Hải Dương	Số 71, phố Bình Hà, Thị Trấn Thanh Hà, Huyện Thanh Hà, Tỉnh Hải Dương	Vận tải hàng hóa bằng đường bộ	0801239551	11-01-2018
Công Ty TNHH Giáo Dục Linh Trà	Hải Dương	Thôn Cổ Chẩm, Xã Việt Hồng, Huyện Thanh Hà, Tỉnh Hải Dương	Giáo dục khác chưa được phân vào đâu	0801237949	09-01-2018
Công Ty TNHH Mtv Quyn	Hải Dương	Thôn 2, Xã Thanh Xá, Huyện Thanh Hà, Tỉnh Hải Dương	Sản xuất vali, túi xách và các loại tương tự, sản xuất yên đệm	0801237794	05-01-2018
Công Ty TNHH Sx Và Tm Mỹ Đức	Hải Dương	Thôn Hải Yến, Xã Hồng Lạc, Huyện Thanh Hà, Tỉnh Hải Dương	Gia công cơ khí; xử lý và tráng phủ kim loại	0801230887	11-12-2017
Công Ty TNHH Xuất Nhập Khẩu Và Thương Mại Kyon Koo	Hải Dương	Đường 25-5, Khu 1, Thị Trấn Thanh Hà, Huyện Thanh Hà, Tỉnh Hải Dương		0801228260	30-11-2017
Công Ty TNHH Dịch Vụ Vận Tải Tứ Hải	Hải Dương	Đội 5, thôn An Lão, Xã Thanh Khê, Huyện Thanh Hà, Tỉnh Hải Dương	Vận tải hàng hóa bằng đường bộ	0801226312	10-11-2017
Công Ty TNHH Phát Triển Thương Mại Và Dịch Vụ Nam Vương	Hải Dương	Thôn Kỳ Tây, Xã Cẩm Chế, Huyện Thanh Hà, Tỉnh Hải Dương	Bán buôn nông, lâm sản nguyên liệu (trừ gỗ, tre, nứa) và động vật sống	0801225622	01-11-2017
Công Ty TNHH Mtv Xây Dựng Và Vận Tải Đại Cường	Hải Dương	Đội 15, thôn Tráng Liệt, Xã Thanh Sơn, Huyện Thanh Hà, Tỉnh Hải Dương	Vận tải hàng hóa đường thuỷ nội địa	0801225407	26-10-2017
