Công Ty TNHH Vận Tải Và Thương Mại Tổng Hợp Tiến Dũng	Nam Định	Tổ 13, Thị Trấn Xuân Trường, Huyện Xuân Trường, Tỉnh Nam Định	Bán buôn nhiên liệu rắn, lỏng, khí và các sản phẩm liên quan	0601155664	07-02-2018
Công Ty TNHH Thương Mại Nam Thành Thái	Nam Định	Tổ 10, Thị Trấn Xuân Trường, Huyện Xuân Trường, Tỉnh Nam Định	Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng	0601155551	05-02-2018
Công Ty TNHH Phát Triển Nông Nghiệp Nam Định	Nam Định	Chợ Cát, Xã Xuân Thành, Huyện Xuân Trường, Tỉnh Nam Định	Hoạt động hỗ trợ dịch vụ tài chính chưa được phân vào đâu	0601155463	31-01-2018
Công Ty TNHH Mtv Thương Mại Đại Dương Hd	Nam Định	Xóm 11, Xã Xuân Trung, Huyện Xuân Trường, Tỉnh Nam Định	Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng	0601155128	24-01-2018
Công Ty TNHH Tfc - Garment	Nam Định	Xóm 11, Xã Thọ Nghiệp, Huyện Xuân Trường, Tỉnh Nam Định	May trang phục (trừ trang phục từ da lông thú)	0601155103	23-01-2018
Công Ty TNHH Đầu Tư Thương Mại Xuân Hưng	Nam Định	Xóm 4, Xã Xuân Trung, Huyện Xuân Trường, Tỉnh Nam Định	Bán buôn tổng hợp	0601151331	02-01-2018
Công Ty Cổ Phần Đầu Tư Xuân Trường	Nam Định	Tổ 18, Thị Trấn Xuân Trường, Huyện Xuân Trường, Tỉnh Nam Định	Xây dựng công trình kỹ thuật dân dụng khác	0601150874	29-12-2017
Công Ty Cổ Phần Thương Mại Xây Dựng Và Đầu Tư Đức Trung	Nam Định	Tổ 18, Thị Trấn Xuân Trường, Huyện Xuân Trường, Tỉnh Nam Định	Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng	0601150521	26-12-2017
Công Ty TNHH Đầu Tư Thương Mại Trần Hương	Nam Định	Tổ 13, Thị Trấn Xuân Trường, Huyện Xuân Trường, Tỉnh Nam Định	Bán buôn tổng hợp	0601147832	13-12-2017
Công Ty TNHH Đầu Tư Thương Mại Tố Hoa	Nam Định	Phố Lạc Quần, Hưng Đạo 2, Xã Xuân Ninh, Huyện Xuân Trường, Tỉnh Nam Định		0601146451	01-12-2017
Công Ty Cổ Phần Thương Mại Xây Dựng Đức La	Nam Định	Tổ 13, Thị Trấn Xuân Trường, Huyện Xuân Trường, Tỉnh Nam Định	Bán buôn tổng hợp	0601145698	30-11-2017
Công Ty TNHH Kinh Doanh Thương Mại Trường Lộc	Nam Định	Tổ 6, Thị Trấn Xuân Trường, Huyện Xuân Trường, Tỉnh Nam Định	Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng	0601144528	24-11-2017
Công Ty Cổ Phần Kinh Doanh Thương Mại Thắng Liên	Nam Định	Xóm 4, Xã Xuân Trung, Huyện Xuân Trường, Tỉnh Nam Định	Xây dựng nhà các loại	0601144542	23-11-2017
Công Ty TNHH Đồ Gỗ Mỹ Nghệ Quang Toàn	Nam Định	Tổ 18, Thị Trấn Xuân Trường, Huyện Xuân Trường, Tỉnh Nam Định	Cưa, xẻ, bào gỗ và bảo quản gỗ	0601144503	22-11-2017
Công Ty TNHH Thang Máy Nam Định	Nam Định	Xóm 6, Xã Xuân Đài, Huyện Xuân Trường, Tỉnh Nam Định	Lắp đặt hệ thống xây dựng khác	0601144486	22-11-2017
Công Ty Cổ Phần Sản Xuất Thương Mại Hải Châu	Nam Định	Xóm 2, Xã Xuân Phong, Huyện Xuân Trường, Tỉnh Nam Định	Sản xuất hàng may sẵn (trừ trang phục)	0601144327	20-11-2017
Công Ty TNHH Thương Mại Đầu Tư Và Dịch Vụ Nam Thái - Chi Nhánh Xuân Trường	Nam Định	Số 152, Tổ 18, Thị Trấn Xuân Trường, Huyện Xuân Trường, Tỉnh Nam Định	Bán buôn đồ dùng khác cho gia đình	0601142552-002	03-11-2017
Công Ty TNHH Bồn Nước Xuân Tiến	Nam Định	Xóm 4, Xã Xuân Tiến, Huyện Xuân Trường, Tỉnh Nam Định	Bán buôn máy móc, thiết bị và phụ tùng máy khác	0601143725	02-11-2017
Công Ty Cổ Phần Xăng Dầu Và Thương Mại Đại Kim	Nam Định	Tổ 18, Thị Trấn Xuân Trường, Huyện Xuân Trường, Tỉnh Nam Định	Bán buôn nhiên liệu rắn, lỏng, khí và các sản phẩm liên quan	0601143549	26-10-2017
Công Ty Cổ Phần Thương Mại Sản Xuất Texo Việt Nhật	Nam Định	Tân Hòa 1, Xã Xuân Ninh, Huyện Xuân Trường, Tỉnh Nam Định	Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng	0601143429	26-10-2017
Công Ty Cổ Phần Vũ Tiến Dũng	Nam Định	Xóm 1, Xã Xuân Đài, Huyện Xuân Trường, Tỉnh Nam Định	Xây dựng công trình kỹ thuật dân dụng khác	0601143323	23-10-2017
Công Ty TNHH Cơ Khí Kim Thành Ngân	Nam Định	Xóm 2, Xã Xuân Đài, Huyện Xuân Trường, Tỉnh Nam Định	Gia công cơ khí; xử lý và tráng phủ kim loại	0601143330	23-10-2017
Công Ty Cổ Phần Xây Dựng Và Vận Tải Thủy Bộ Trường An	Nam Định	Xóm 11, Xã Xuân Trung, Huyện Xuân Trường, Tỉnh Nam Định	Xây dựng nhà các loại	0601142993	12-10-2017
Công Ty TNHH Nhôm Đúc Nghệ Thuật Xuân Trường	Nam Định	Xóm Đông Thắng, Xã Xuân Ninh, Huyện Xuân Trường, Tỉnh Nam Định	Gia công cơ khí; xử lý và tráng phủ kim loại	0601143027	12-10-2017
Công Ty Cổ Phần Sản Xuất Và Thương Mại Tổng Hợp Xuân Trường	Nam Định	Xóm 8, Nghĩa Xá, Xã Xuân Ninh, Huyện Xuân Trường, Tỉnh Nam Định	Bán buôn nông, lâm sản nguyên liệu (trừ gỗ, tre, nứa) và động vật sống	0601142792	09-10-2017
Công Ty Cổ Phần Thương Mại Tổng Hợp Xuân Nam	Nam Định	Tổ 7, Thị Trấn Xuân Trường, Huyện Xuân Trường, Tỉnh Nam Định	Xây dựng công trình kỹ thuật dân dụng khác	0601142665	03-10-2017
Công Ty TNHH Thương Mại Và Dịch Vụ Trường Cảnh	Nam Định	Tổ 16, Thị Trấn Xuân Trường, Huyện Xuân Trường, Tỉnh Nam Định	Nhà hàng và các dịch vụ ăn uống phục vụ lưu động	0601142062	03-10-2017
Công Ty TNHH Cơ Khí Huy Hòa	Nam Định	Cụm Công nghiệp, Xã Xuân Tiến, Huyện Xuân Trường, Tỉnh Nam Định	Gia công cơ khí; xử lý và tráng phủ kim loại	0601142295	27-09-2017
Công Ty TNHH Khởi Nghiệp Xanh Phú Bình	Nam Định	Xóm 6, Xã Xuân Tiến, Huyện Xuân Trường, Tỉnh Nam Định	Bán buôn nông, lâm sản nguyên liệu (trừ gỗ, tre, nứa) và động vật sống	0601141661	11-09-2017
Văn Phòng Đại Diện - Công Ty Cổ Phần Datyso Việt Nam Tại Nam Định	Nam Định	Xóm 14, Xã Xuân Kiên, Huyện Xuân Trường, Tỉnh Nam Định		0106684335-002	31-08-2017
Công Ty TNHH Dịch Vụ Thương Mại Duy Bảo	Nam Định	Xóm 5, Xã Xuân Tiến, Huyện Xuân Trường, Tỉnh Nam Định	Bán buôn thiết bị và linh kiện điện tử, viễn thông	0601141118	23-08-2017
Công Ty TNHH Sản Xuất Cơ Khí Tổng Hợp Bình Minh	Nam Định	Xóm 9, Xã Xuân Tiến, Huyện Xuân Trường, Tỉnh Nam Định	Bán buôn máy móc, thiết bị và phụ tùng máy khác	0601140763	16-08-2017
Công Ty TNHH Kinh Doanh Và Dịch Vụ Hoàng Thái	Nam Định	Tổ 18, Thị Trấn Xuân Trường, Huyện Xuân Trường, Tỉnh Nam Định	Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng	0601140379	04-08-2017
Công Ty TNHH Kinh Doanh Tổng Hợp Quỳnh Anh	Nam Định	Tổ 13, Thị Trấn Xuân Trường, Huyện Xuân Trường, Tỉnh Nam Định	Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng	0601140393	04-08-2017
Công Ty TNHH Mỹ Nghệ Hiệp Hưng	Nam Định	Xóm 4 , Xã Xuân Tiến, Huyện Xuân Trường, Tỉnh Nam Định	Gia công cơ khí; xử lý và tráng phủ kim loại	0601140192	02-08-2017
Công Ty TNHH Cơ Khí Hiền Hoa	Nam Định	Xóm 6, Xã Xuân Tiến, Huyện Xuân Trường, Tỉnh Nam Định	Sản xuất sản phẩm khác bằng kim loại chưa được phân vào đâu	0601139736	20-07-2017
Công Ty TNHH Dịch Vụ Viễn Thông Dũng Mừng	Nam Định	Xóm 5, Xã Xuân Trung, Huyện Xuân Trường, Tỉnh Nam Định	Đại lý, môi giới, đấu giá	0601139775	20-07-2017
