Công Ty Cổ Phần Tập Đoàn Chan Group	Bắc Giang	Số nhà 34, Đường Ngô Văn Cảnh, Phường Ngô Quyền, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Giáo dục khác chưa được phân vào đâu	2400855564	02-01-2019
Công Ty TNHH Công Nghiệp Dls Vina	Bắc Giang	Số nhà 66,Thôn Riễu, Xã Dĩnh Trì, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Sản xuất hoá chất cơ bản	2400855451	26-12-2018
Công Ty TNHH Thương Mại Và Dịch Vụ Ngọc Anh Bắc Giang	Bắc Giang	Số 331, đường Nguyễn Thị Minh Khai, Phường Dĩnh Kế, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Bán buôn vải, hàng may sẵn, giày dép	2400855187	25-12-2018
Công Ty TNHH Hợp Phát Global Bắc Giang	Bắc Giang	Số 261 đường Giáp Hải, Phường Dĩnh Kế, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Bán buôn chuyên doanh khác chưa được phân vào đâu	2400854112	17-12-2018
Công Ty TNHH Cao Thiên Tuệ	Bắc Giang	Số 53, Thân Đức Luận, Phường Ngô Quyền, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Hoạt động tư vấn quản lý	2400854190	12-12-2018
Công Ty TNHH Công Nghệ Dinh Dưỡng Bfd	Bắc Giang	Thôn Liêm Xuyên, Xã Song Khê, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Sản xuất thức ăn gia súc, gia cầm và thuỷ sản	2400851489	05-11-2018
Công Ty Cổ Phần Trường Phát Bắc Giang	Bắc Giang	Số 281 đường Nguyễn Thị Lưu 2, Phường Ngô Quyền, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Khai thác thuỷ sản nội địa	2400851016	30-10-2018
Công Ty TNHH Một Thành Viên Minh Huế	Bắc Giang	Số 130, Đường Thân Khuê, Khu 34, Xã Song Mai, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Bán buôn thực phẩm	2400850527	24-10-2018
Công Ty Cổ Phần Khoáng Sản Vĩnh Phát	Bắc Giang	Nhà số 03 Tổ dân phố Mới, Phường Thọ Xương, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Khai khoáng khác chưa được phân vào đâu	2400850238	17-10-2018
Công Ty TNHH Thương Mại Sản Xuất Vật Liệu Xây Dựng Mới Linh Chi Việt Nam	Bắc Giang	Số nhà 62, tổ dân phố Phú Mỹ 1 đường Lê Hồng Phong, Phường Dĩnh Kế, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Sản xuất bê tông và các sản phẩm từ xi măng và thạch cao	2400848398	02-10-2018
Công Ty TNHH Sản Xuất Và Thương Mại Phương Dương	Bắc Giang	Số 4, Tổ dân phố Hướng, Phường Thọ Xương, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Sản xuất sơn, véc ni và các chất sơn, quét tương tự; sản xuất mực in và ma tít	2400848214	01-10-2018
Công Ty Cổ Phần Tm Dv Thiên Minh Bắc Giang	Bắc Giang	Số 275 đường Nguyễn Thị Lưu 2, Phường Ngô Quyền, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Nhà hàng và các dịch vụ ăn uống phục vụ lưu động	2400848197	01-10-2018
