Công Ty TNHH Mtv Dũng Nga Lạng Sơn	Lạng Sơn	Khu Hòa Bình - Thị trấn Lộc Bình - Huyện Lộc Bình - Lạng Sơn	Bán lẻ hàng hóa khác mới trong các cửa hàng chuyên doanh	4900792796	16-05-2016
Trường Mầm Non Xã Bằng Khánh	Lạng Sơn	Xã Bằng Khanh - Xã Bằng Khánh - Huyện Lộc Bình - Lạng Sơn	Giáo dục mầm non	4900792235	12-04-2016
Công Ty TNHH Mtv Vlxd Thùy Liên	Lạng Sơn	Khu Lao động - Thị trấn Lộc Bình - Huyện Lộc Bình - Lạng Sơn	Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng	4900792186	08-04-2016
Công Ty Cổ Phần Đầu Tư Và Phát Triển Xây Dựng Lộc Bình	Lạng Sơn	Số 83, Khu Chộc Vằng - Thị trấn Lộc Bình - Huyện Lộc Bình - Lạng Sơn		4900790950	10-03-2016
Công Ty TNHH Mtv  Du Lịch - Dịch Vụ Bảo Sơn	Lạng Sơn	Nhà nghỉ 9 gian, Khu du lịch Mẫu Sơn - Xã Mẫu Sơn - Huyện Lộc Bình - Lạng Sơn	Dịch vụ lưu trú ngắn ngày	4900788616	25-12-2015
Công Ty TNHH Mtv Đầu Tư Phát Triển Hoàng Hưng	Lạng Sơn	Bãi xe Tuấn Minh, khu cửa khẩu Chi Ma - Xã Yên Khoái - Huyện Lộc Bình - Lạng Sơn	Bán buôn tổng hợp	4900788503	23-12-2015
Trường Mầm non xã Xuân Mãn	Lạng Sơn	Bản Mặn - Xã Xuân Mãn - Huyện Lộc Bình - Lạng Sơn	Bán lẻ (trừ ô tô, mô tô, xe máy và xe có động cơ khác)	4900787771	07-12-2015
Công Ty TNHH Mtv Tm Và Xnk Kim Sơn	Lạng Sơn	Khu nhà thờ - Thị trấn Lộc Bình - Huyện Lộc Bình - Lạng Sơn	Bán lẻ hàng hóa khác mới trong các cửa hàng chuyên doanh	4900787637	01-12-2015
Ban Quản lý dự án Đầu tư Xây dựng huyện Lộc Bình	Lạng Sơn	Khu Hòa Bình - Thị trấn Lộc Bình - Huyện Lộc Bình - Lạng Sơn	Bán lẻ (trừ ô tô, mô tô, xe máy và xe có động cơ khác)	4900787073	10-11-2015
Công Ty TNHH Thương Mại Và Xuất Nhập Khẩu Tuấn Sơn	Lạng Sơn	Cửa khẩu Chi Ma - Xã Yên Khoái - Huyện Lộc Bình - Lạng Sơn	Kho bãi và lưu giữ hàng hóa	4900786591	27-10-2015
Trường Mầm non xã Minh Phát	Lạng Sơn	Nà Noong - Xã Minh Phát - Huyện Lộc Bình - Lạng Sơn	Bán lẻ (trừ ô tô, mô tô, xe máy và xe có động cơ khác)	4900786633	27-10-2015
Doanh Nghiệp Tư Nhân Nhà Nghỉ Đức Hậu	Lạng Sơn	Thôn Lăng Xè - Xã Đồng Bục - Huyện Lộc Bình - Lạng Sơn	Dịch vụ lưu trú ngắn ngày	4900785904	06-10-2015
Hợp tác xã dịch vụ Nông nghiệp Đồng bục	Lạng Sơn	xã Đồng Bục, huyện Lộc Bình, tỉnh Lạng Sơn - Xã Đồng Bục - Huyện Lộc Bình - Lạng Sơn	Nông nghiệp và hoạt động dịch vụ có liên quan	4900783537	20-07-2015
Công Ty Cổ Phần Thương Mại Quốc Tế Thăng Long Lạng Sơn	Lạng Sơn	Khu liên hiệp Kinh tế cửa khẩu Chi Ma - Xã Yên Khoái - Huyện Lộc Bình - Lạng Sơn	Vận tải hàng hóa bằng đường bộ	4900782886	11-06-2015
Công Ty TNHH Mtv Lộc Chi Phát	Lạng Sơn	Khu kinh tế cửa khẩu Chi Ma - Xã Yên Khoái - Huyện Lộc Bình - Lạng Sơn	Hoạt động dịch vụ hỗ trợ kinh doanh khác còn lại chưa được phân vào đâu	4900782244	08-05-2015
Công Ty TNHH Mtv Đại Phát Lộc 68	Lạng Sơn	Số 78, khu Na Dương Bản - Thị trấn Na Dương - Huyện Lộc Bình - Lạng Sơn	Bán buôn tổng hợp	4900781272	31-03-2015
Trường Mầm Non Xã Bằng Khánh	Lạng Sơn	Thôn Khòn Khoang - Xã Bằng Khánh - Huyện Lộc Bình - Lạng Sơn	Giáo dục mầm non	4900781233	30-03-2015
Văn Phòng Đại Diện Công Ty Cổ Phần Vận Tải Và Xuất Nhập Khẩu Hgb	Lạng Sơn	Số 75 Khu Lao Động - Thị trấn Lộc Bình - Huyện Lộc Bình - Lạng Sơn	Vận tải hàng hóa bằng đường bộ	4900755586-001	25-03-2015
Công Ty TNHH Mtv Hon Chi Ma	Lạng Sơn	Khu vực cửa khẩu Chi Ma - Huyện Lộc Bình - Lạng Sơn	Bán buôn tổng hợp	4900779315	31-12-2014
Doanh Nghiệp Tư Nhân Bùi Trường Giang	Lạng Sơn	Số 91, phố Lao Động - Huyện Lộc Bình - Lạng Sơn	Bán lẻ hàng hóa khác mới trong các cửa hàng chuyên doanh	4900779192	29-12-2014
Công Ty TNHH Thương Mại Thái - Long	Lạng Sơn	Thôn Bản Khiếng - Huyện Lộc Bình - Lạng Sơn	Sản xuất đồ uống không cồn, nước khoáng	4900778720	18-12-2014
Công Ty TNHH Thương Mại Tổng Hợp Trường Xuân Ngọc	Lạng Sơn	Cửa khẩu Chi Ma, thôn Chi Ma - Xã Yên Khoái - Huyện Lộc Bình - Lạng Sơn	Bán buôn tổng hợp	4900777808	01-12-2014
Công Ty TNHH Thương Mại Và Xây Dựng Quang Thành	Lạng Sơn	Số 120, Khu Hòa Bình - Thị trấn Lộc Bình - Huyện Lộc Bình - Lạng Sơn	Xây dựng nhà các loại	4900777188	11-11-2014
Công Ty TNHH Mtv Thương Mại Xuất Nhập Khẩu Việt Đức	Lạng Sơn	Số 03, khu phố 1 - Huyện Lộc Bình - Lạng Sơn	Bán buôn nông, lâm sản nguyên liệu (trừ gỗ, tre, nứa) và động vật sống	4900775303	31-07-2014
Phúc Thoạn	Lạng Sơn	201 - Huyện Lộc Bình - Lạng Sơn	Photo, chuẩn bị tài liệu	4900775222	24-07-2014
Công Ty TNHH Hòa Thuận Hưng	Lạng Sơn	Số 78, khu Na Dương Bản - Huyện Lộc Bình - Lạng Sơn	Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng	4900774966	15-07-2014
Công Ty TNHH Mtv Lâm Thao Ls	Lạng Sơn	Số 102, khu Hòa Bình - Huyện Lộc Bình - Lạng Sơn	Xây dựng công trình kỹ thuật dân dụng khác	4900774620	03-07-2014
Xí Nghiệp Khai Thác Công Trình Thủy Lợi Lộc Bình - Chi Nhánh Công Ty TNHH Mtv Khai Thác Công Trình T	Lạng Sơn	Số 21, khu Bản Kho - Thị trấn Lộc Bình - Huyện Lộc Bình - Lạng Sơn	Xây dựng công trình công ích	4900100357-018	18-06-2014
Công Ty TNHH Mtv Triệu Hoa	Lạng Sơn	Khu Tái định cư cửa khẩu Chi Ma - Xã Yên Khoái - Huyện Lộc Bình - Lạng Sơn	Bán buôn nông, lâm sản nguyên liệu (trừ gỗ, tre, nứa) và động vật sống	4900774349	17-06-2014
Trung Tâm Máy Tính Lộc Bình	Lạng Sơn	30 Khu Minh Khai - Huyện Lộc Bình - Lạng Sơn	Sửa chữa máy vi tính, đồ dùng cá nhân và gia đình	4900772711	24-04-2014
Ban quản lý khu du lịch Mẫu Sơn	Lạng Sơn	KM14+500, Khu du lịch Mẫu Sơn - Huyện Lộc Bình - Lạng Sơn	Hoạt động của các đại lý du lịch, kinh doanh tua du lịch và các dịch vụ hỗ trợ, liên quan đến quảng bá và tổ chức tua du lịch	4900772302	10-04-2014
Trường Mầm Non Xã Vân Mộng	Lạng Sơn	ôn Cựu II - Huyện Lộc Bình - Lạng Sơn	Giáo dục mầm non	4900772172	08-04-2014
